STATE,count_piles,count_permits,count_requests,count_complete,count_volume,per_permit,per_request,per_complete,per_volume
AZ,1667,NA,1667,1330,NA,NA,100,79.78404319136173,NA
CA,9211,NA,8752,7992,NA,NA,95.0168277060037,86.76582347193573,NA
CO,1317,1,NA,NA,702,0.07593014426727411,NA,NA,53.30296127562642
ID,21223,10467,NA,NA,NA,49.31913490081515,NA,NA,NA
MT,7554,NA,7544,4755,NA,NA,99.86761980407731,62.94678316123908,NA
NM,263,93,NA,108,206,35.361216730038024,NA,41.06463878326996,78.32699619771863
NV,646,NA,287,NA,38,NA,44.42724458204334,NA,5.88235294117647
OR,19614,NA,NA,19567,NA,NA,NA,99.76037524217396,NA
UT,650,NA,NA,647,NA,NA,NA,99.53846153846155,NA
WA,13127,12856,9012,4535,NA,97.93555267768721,68.65239582539803,34.54711662984688,NA
WY,168,39,NA,34,152,23.214285714285715,NA,20.238095238095237,90.47619047619048
